"Method
Method","EGY            SynergyTrade-off
30.99","EGY            SynergyTrade-off
25.1","IDN            SynergyTrade-off
43.06","IDN            SynergyTrade-off
24.48","M            Synergy
37.82","EX            Trade-off
29.86","TUR            SynergyTrade-off
41.43","TUR            SynergyTrade-off
30.62"
lcorr,(12.11),(11.3),(19.21),(16.51),(15.83),(14.0),(18.66),(16.03)
,[31],[51],[40],[43],[5],[32],[45],[46]
,12.83,11.1,13.01,11.01,11.66,10.44,13.38,11.4
iota,(6.53),(4.79),(5.9),(5.0),(3.69),(4.78),(6.2),(5.71)
,[5],[43],[4],[7],[27],[13],[36],[81]
,21.1,14.48,22.23,11.17,27.24,19.06,26.25,13.36
ccm,(15.55),(10.9),(16.86),(10.45),(17.11),(11.62),(19.14),(11.94)
,[56],[68],[41],[36],[23],[36],[24],[36]
,1.29,0.64,1.33,0.53,1.26,0.44,1.15,0.55
pcalg,(0.82),(0.8),(0.97),(0.66),(0.79),(0.64),(0.86),(0.67)
,[74],[36],[16],[35],[3],[19],[11],[29]
,8.9,7.03,9.63,7.66,10.62,8.0,6.3,3.36
sparsebn,(4.89),(4.31),(5.02),(4.33),(5.81),(5.3),(3.8),(2.63)
,[85],[8],[15],[42],[1],[70],[3],[46]
