Beam specimen,Reinforcements Ratio (%),No. of CFRP Layer,"Failure load, P             exp            (kN)",Maximum crack size (mm),ACI440.1R-06 [             23            ] (mm),CEB-F1P Code (mm)
B2−0C,0.56               a,0,40,0.23,2,0.3
B3−0C,0.84               b,0,67.5,0.19,1.05,0.25
"""B2−1C""",0.56,1,57.5,0.52,2,0.35
"""B3−1C""",0.84,1,73,0.4,1.75,0.33
"""B4−1C""",1.12               c,1,85,0.33,0.6,0.36
"""B5−1C""",1.4               d,1,96,0.16,0.43,0.28
"""B2−2C""",0.56,2,78,0.6,2,0.4
"""B3−2C""",0.84,2,88,0.32,1.05,0.36
"""B4−2C""",1.12,2,96,0.21,0.6,0.27
"""B5−2C""",1.4,2,104,0.18,0.43,0.26
