Sr. #,Name,Location,Area of reserves,Year
1,Aksu-Jabagly State Nature Reserve,Turkestan and Jambyl regions,"131,934",1926
2,Almaty State Nature Reserve,Almaty region,"71,700",1931
3,Naurzum State Nature Reserve,Kostanay region,"191,381",1931
4,Barsa-Kelme’s State Nature Reserve,Kyzyl Orda region,"160,826",1939
5,Korgalzhyn State Nature Reserve,Akmola and Karaganda regions,"543,171",1968
6,Markakol State Nature Reserve,East Kazakhstan region,"102,979",1976
7,Ustyurt State Nature Reserve,Mangystau region,"223,342",1984
8,West Altai State Nature Reserve,East Kazakhstan region,"86,122",1992
9,Alakol State Nature Reserve,Almaty and East Kazakhstan,"65,217,9",1998
10,Karatau State Nature Reserve,Turkestan region,"34,300",2004
