ID,C,E,V,F,S,X,Y
8,[23 0],−1604.0754,22.8215,0.0000,2,0.000,0.000
18,[      ],−1362.0233,19.9797,0.0000,8,0.182,−0.6457
69,[      13],−448.3141,15.0906,0.0000,1,0.867,−1.0985
70,[0 12],−269.2371,7.5067,0.0000,1,1.000,0.0000
90,[      ],−967.3247,15.3563,0.0000,1,0.478,−1.6502
53,[      18],−681.2706,12.4209,0.0322,1,0.692,−1.3140
125,[0 12],−269.1999,7.5067,0.0372,1,1.000,0.0372
28,[23 0],−1604.0290,22.8215,0.0465,1,0.000,0.0465
34,[18      ],−1470.8920,21.2585,0.0548,1,0.100,−0.3004
43,[0 11],−269.1667,7.2106,0.0703,1,1.000,0.0703
